Date W/ Weekends,Open,High,Low,Close,Adj Close,Volume
2/20/2011,134.369995,134.690002,134.059998,134.529999,109.889328,130002400
2/21/2011,134.369995,134.690002,134.059998,134.529999,109.889328,130002400
2/22/2011,133.119995,134.559998,131.470001,131.830002,107.683868,233116400
2/23/2011,131.75,132.070007,130.210007,131.020004,107.022232,227584000
2/24/2011,130.880005,131.440002,129.699997,130.929993,106.948715,260431400
2/25/2011,131.479996,132.410004,131.399994,132.330002,108.092262,141686900
2/26/2011,131.479996,132.410004,131.399994,132.330002,108.092262,141686900
2/27/2011,131.479996,132.410004,131.399994,132.330002,108.092262,141686900
2/28/2011,132.820007,133.320007,132.380005,133.149994,108.762093,141585500
3/1/2011,133.570007,133.690002,130.889999,130.929993,106.948715,258565500
3/2/2011,130.75,131.820007,130.350006,131.210007,107.177422,200277400
3/3/2011,132.399994,133.619995,132.389999,133.470001,109.023468,176480100
3/4/2011,133.369995,133.630005,131.600006,132.470001,108.206612,277202300
3/5/2011,133.369995,133.630005,131.600006,132.470001,108.206612,277202300
3/6/2011,133.369995,133.630005,131.600006,132.470001,108.206612,277202300
3/7/2011,132.860001,133.160004,130.740005,131.429993,107.357162,216790400
3/8/2011,131.639999,133,131.070007,132.580002,108.296494,174615000
3/9/2011,132.320007,132.800003,131.600006,132.389999,108.141281,153806000
3/10/2011,131,131.179993,129.809998,129.940002,106.140022,301291800
3/11/2011,129.520004,131.309998,129.490005,130.839996,106.875175,225621800
3/12/2011,129.520004,131.309998,129.490005,130.839996,106.875175,225621800
3/13/2011,129.520004,131.309998,129.490005,130.839996,106.875175,225621800
3/14/2011,129.990005,130.479996,129.059998,130.050003,106.229912,234974100
3/15/2011,126.589996,129.330002,126.5,128.559998,105.01281,359585400
3/16/2011,128.149994,128.570007,125.279999,126.18,103.068718,468670300
3/17/2011,128,128.389999,127.099998,127.849998,104.432838,254303700
3/18/2011,128.839996,128.880005,127.510002,127.760002,104.81266,230435400
3/19/2011,128.839996,128.880005,127.510002,127.760002,104.81266,230435400
3/20/2011,128.839996,128.880005,127.510002,127.760002,104.81266,230435400
3/21/2011,129.350006,130.009995,129.199997,129.740005,106.43708,153992600
3/22/2011,129.720001,129.889999,129.169998,129.289993,106.067871,129538600
3/23/2011,128.929993,130,128.320007,129.660004,106.371429,148603100
3/24/2011,130.399994,131.089996,129.669998,130.899994,107.388695,159129800
3/25/2011,131.240005,131.869995,130.889999,131.300003,107.716858,155642800
3/26/2011,131.240005,131.869995,130.889999,131.300003,107.716858,155642800
3/27/2011,131.240005,131.869995,130.889999,131.300003,107.716858,155642800
3/28/2011,131.580002,131.919998,130.940002,130.979996,107.454338,109762400
3/29/2011,130.869995,131.899994,130.440002,131.860001,108.176277,129798800
3/30/2011,132.550003,133.160004,132.360001,132.770004,108.922836,135835000
3/31/2011,132.600006,132.960007,132.449997,132.589996,108.775154,132537100
4/1/2011,133.410004,133.770004,132.830002,133.149994,109.234573,153850100
4/2/2011,133.410004,133.770004,132.830002,133.149994,109.234573,153850100
4/3/2011,133.410004,133.770004,132.830002,133.149994,109.234573,153850100
4/4/2011,133.429993,133.669998,132.880005,133.259995,109.324806,100768900
4/5/2011,133,133.830002,132.940002,133.240005,109.308411,120791500
4/6/2011,133.880005,134,133.119995,133.660004,109.652969,120411600
4/7/2011,133.419998,133.979996,132.660004,133.320007,109.374039,170731500
4/8/2011,133.910004,133.990005,132.309998,132.860001,108.996643,147945400
4/9/2011,133.910004,133.990005,132.309998,132.860001,108.996643,147945400
4/10/2011,133.910004,133.990005,132.309998,132.860001,108.996643,147945400
4/11/2011,133,133.449997,132.139999,132.460007,108.668503,121385400
4/12/2011,131.720001,131.979996,130.990005,131.470001,107.856323,161187400
4/13/2011,132.080002,132.179993,130.960007,131.460007,107.848106,162059000
4/14/2011,130.699997,131.759995,130.270004,131.559998,107.930176,161220400
4/15/2011,131.800003,132.369995,131.410004,132.039993,108.323952,170006700
4/16/2011,131.800003,132.369995,131.410004,132.039993,108.323952,170006700
4/17/2011,131.800003,132.369995,131.410004,132.039993,108.323952,170006700
4/18/2011,130.589996,132.029999,129.509995,130.559998,107.109779,210759300
4/19/2011,130.759995,131.350006,130.440002,131.309998,107.725075,124258800
4/20/2011,132.880005,133.389999,132.789993,133.100006,109.193558,156133800
4/21/2011,133.789993,133.839996,133.100006,133.779999,109.751442,135935400
4/22/2011,133.789993,133.839996,133.100006,133.779999,109.751442,135935400
4/23/2011,133.789993,133.839996,133.100006,133.779999,109.751442,135935400
4/24/2011,133.789993,133.839996,133.100006,133.779999,109.751442,135935400
4/25/2011,133.679993,133.860001,133.199997,133.639999,109.636551,65757100
4/26/2011,134.050003,135.059998,133.910004,134.789993,110.580002,146600000
4/27/2011,135.050003,135.869995,134.5,135.669998,111.301949,143031000
4/28/2011,135.429993,136.289993,135.410004,136.110001,111.662895,124791100
4/29/2011,136.160004,136.570007,135.979996,136.429993,111.925438,115094100
4/30/2011,136.160004,136.570007,135.979996,136.429993,111.925438,115094100
5/1/2011,136.160004,136.570007,135.979996,136.429993,111.925438,115094100
5/2/2011,137.070007,137.179993,135.949997,136.220001,111.753159,126278700
5/3/2011,135.960007,136.190002,135.039993,135.729996,111.351181,138375000
5/4/2011,135.669998,135.729996,134.229996,134.830002,110.612801,182678500
5/5/2011,134.080002,134.949997,133.020004,133.610001,109.611984,226900000
5/6/2011,134.940002,135.630005,133.679993,134.199997,110.096001,222787200
5/7/2011,134.940002,135.630005,133.679993,134.199997,110.096001,222787200
5/8/2011,134.940002,135.630005,133.679993,134.199997,110.096001,222787200
5/9/2011,134.190002,135.110001,133.979996,134.720001,110.522598,114104500
5/10/2011,135.169998,136.110001,135,135.869995,111.466011,114806900
5/11/2011,135.669998,135.690002,133.820007,134.440002,110.292862,193564200
5/12/2011,134.080002,135.360001,133.389999,135.080002,110.817932,171550700
5/13/2011,135.149994,135.339996,133.559998,134.039993,109.964737,157444900
5/14/2011,135.149994,135.339996,133.559998,134.039993,109.964737,157444900
5/15/2011,135.149994,135.339996,133.559998,134.039993,109.964737,157444900
5/16/2011,133.559998,134.610001,132.970001,133.190002,109.267403,141675400
5/17/2011,132.690002,133.350006,132.119995,133.169998,109.250992,192686200
5/18/2011,133.240005,134.5,132.949997,134.360001,110.227226,135217900
5/19/2011,134.800003,135.029999,133.940002,134.679993,110.489784,119489500
5/20/2011,134.330002,134.679993,133.360001,133.610001,109.611984,182594900
5/21/2011,134.330002,134.679993,133.360001,133.610001,109.611984,182594900
5/22/2011,134.330002,134.679993,133.360001,133.610001,109.611984,182594900
5/23/2011,131.979996,132.720001,131.589996,132.059998,108.340332,168700000
5/24/2011,132.440002,132.729996,131.699997,131.949997,108.250099,147199600
5/25/2011,131.419998,132.940002,131.380005,132.389999,108.611076,151050100
5/26/2011,132.029999,133.240005,131.779999,133,109.111526,164850000
5/27/2011,133.369995,133.869995,132.960007,133.509995,109.5299,120921900
5/28/2011,133.369995,133.869995,132.960007,133.509995,109.5299,120921900
5/29/2011,133.369995,133.869995,132.960007,133.509995,109.5299,120921900
5/30/2011,133.369995,133.869995,132.960007,133.509995,109.5299,120921900
5/31/2011,134.770004,134.919998,133.839996,134.899994,110.670242,164731200
6/1/2011,134.509995,134.919998,131.759995,131.869995,108.184479,233094300
6/2/2011,131.960007,132.240005,130.960007,131.729996,108.069633,200466800
6/3/2011,130.149994,131.419998,130.080002,130.419998,106.994919,234690200
6/4/2011,130.149994,131.419998,130.080002,130.419998,106.994919,234690200
6/5/2011,130.149994,131.419998,130.080002,130.419998,106.994919,234690200
6/6/2011,130.089996,130.360001,128.869995,129.039993,105.862778,179951200
6/7/2011,129.699997,130.070007,128.850006,128.960007,105.79718,161660500
6/8/2011,128.759995,129.190002,128.179993,128.419998,105.354149,198696400
6/9/2011,128.770004,129.929993,128.460007,129.399994,106.158134,160964400
6/10/2011,128.850006,128.929993,127.260002,127.599998,104.681412,238629400
6/11/2011,128.850006,128.929993,127.260002,127.599998,104.681412,238629400
6/12/2011,128.850006,128.929993,127.260002,127.599998,104.681412,238629400
6/13/2011,127.889999,128.240005,127.050003,127.699997,104.763451,207599800
6/14/2011,128.869995,129.770004,128.820007,129.320007,106.092499,160570400
6/15/2011,128.240005,129.300003,126.68,127.019997,104.205589,300958000
6/16/2011,127.059998,127.970001,126.32,127.300003,104.435326,308032800
6/17/2011,127.93,127.940002,126.620003,127.050003,104.746956,233284900
6/18/2011,127.93,127.940002,126.620003,127.050003,104.746956,233284900
6/19/2011,127.93,127.940002,126.620003,127.050003,104.746956,233284900
6/20/2011,126.620003,127.970001,126.580002,127.699997,105.282875,159479000
6/21/2011,128.360001,129.699997,127.75,129.449997,106.725655,193157300
6/22/2011,129.050003,129.809998,128.589996,128.669998,106.082581,176703000
6/23/2011,127.160004,128.639999,126.190002,128.300003,105.777519,334286500
6/24/2011,128.270004,128.369995,126.620003,126.809998,104.54908,226129300
6/25/2011,128.270004,128.369995,126.620003,126.809998,104.54908,226129300
6/26/2011,128.270004,128.369995,126.620003,126.809998,104.54908,226129300
6/27/2011,126.889999,128.429993,126.639999,127.940002,105.480721,168904700
6/28/2011,128.449997,129.630005,128.270004,129.610001,106.857574,165556300
6/29/2011,130.199997,130.929993,129.630005,130.720001,107.772713,244295500
6/30/2011,131.139999,132.179993,130.710007,131.970001,108.803261,223322700
7/1/2011,132.089996,134.100006,131.779999,133.919998,110.41095,202385700
7/2/2011,132.089996,134.100006,131.779999,133.919998,110.41095,202385700
7/3/2011,132.089996,134.100006,131.779999,133.919998,110.41095,202385700
7/4/2011,132.089996,134.100006,131.779999,133.919998,110.41095,202385700
7/5/2011,133.779999,134.080002,133.389999,133.809998,110.320297,165936000
7/6/2011,133.490005,134.139999,133.110001,133.970001,110.452179,143331600
7/7/2011,135.160004,135.699997,134.880005,135.360001,111.598183,170464200
7/8/2011,133.830002,135.360001,133.389999,134.399994,110.806671,194100500
7/9/2011,133.830002,135.360001,133.389999,134.399994,110.806671,194100500
7/10/2011,133.830002,135.360001,133.389999,134.399994,110.806671,194100500
7/11/2011,132.75,133.179993,131.660004,131.970001,108.803261,195918600
7/12/2011,131.690002,132.779999,131.360001,131.399994,108.333344,214675700
7/13/2011,132.089996,133.220001,131.520004,131.839996,108.696083,204062600
7/14/2011,132.169998,132.779999,130.679993,130.929993,107.945854,226111800
7/15/2011,131.660004,131.869995,130.770004,131.690002,108.572441,220012800
7/16/2011,131.660004,131.869995,130.770004,131.690002,108.572441,220012800
7/17/2011,131.660004,131.869995,130.770004,131.690002,108.572441,220012800
7/18/2011,131.080002,131.279999,129.630005,130.610001,107.68203,196872100
7/19/2011,131.339996,132.889999,131.309998,132.729996,109.429863,166554900
7/20/2011,133.070007,133.149994,132.419998,132.649994,109.363922,137145400
7/21/2011,133.399994,134.820007,132.669998,134.490005,110.880898,245246300
7/22/2011,134.520004,134.720001,133.759995,134.580002,110.955109,126019400
7/23/2011,134.520004,134.720001,133.759995,134.580002,110.955109,126019400
7/24/2011,134.520004,134.720001,133.759995,134.580002,110.955109,126019400
7/25/2011,133.300003,134.490005,133.160004,133.830002,110.336769,136653800
7/26/2011,133.740005,133.960007,133.029999,133.330002,109.924522,131278200
7/27/2011,132.589996,132.630005,130.429993,130.600006,107.673775,249020100
7/28/2011,130.600006,131.770004,130.009995,130.220001,107.360474,207939900
7/29/2011,128.910004,130.550003,127.970001,129.330002,106.626717,307038400
7/30/2011,128.910004,130.550003,127.970001,129.330002,106.626717,307038400
7/31/2011,128.910004,130.550003,127.970001,129.330002,106.626717,307038400
8/1/2011,130.839996,130.960007,127.529999,128.779999,106.173264,325790900
8/2/2011,127.809998,128.5,125.489998,125.489998,103.4608,346653800
8/3/2011,125.660004,126.309998,123.529999,126.169998,104.021439,370830800
8/4/2011,124.419998,124.620003,120.059998,120.260002,99.148903,520721800
8/5/2011,121.760002,122.07,116.860001,120.080002,99.000519,655619200
8/6/2011,121.760002,122.07,116.860001,120.080002,99.000519,655619200
8/7/2011,121.760002,122.07,116.860001,120.080002,99.000519,655619200
8/8/2011,116.910004,120.120003,112.019997,112.260002,92.553238,702263900
8/9/2011,114.07,117.639999,110.269997,117.480003,96.856934,717828700
