Day,bitcoin,,in 8 month segments
5/7/2018,8,,
5/6/2018,7,,
5/5/2018,8,,
5/4/2018,8,,
5/3/2018,8,,
5/2/2018,7,,
5/1/2018,7,,
4/30/2018,8,,
4/29/2018,7,,
4/28/2018,7,,
4/27/2018,8,,
4/26/2018,8,,
4/25/2018,10,,
4/24/2018,10,,
4/23/2018,9,,
4/22/2018,8,,
4/21/2018,8,,
4/20/2018,9,,
4/19/2018,9,,
4/18/2018,9,,
4/17/2018,8,,
4/16/2018,9,,
4/15/2018,8,,
4/14/2018,8,,
4/13/2018,11,,
4/12/2018,11,,
4/11/2018,9,,
4/10/2018,10,,
4/9/2018,10,,
4/8/2018,8,,
4/7/2018,8,,
4/6/2018,11,,
4/5/2018,10,,
4/4/2018,10,,
4/3/2018,11,,
4/2/2018,11,,
4/1/2018,11,,
3/31/2018,10,,
3/30/2018,13,,
3/29/2018,12,,
3/28/2018,10,,
3/27/2018,10,,
3/26/2018,12,,
3/25/2018,9,,
3/24/2018,8,,
3/23/2018,10,,
3/22/2018,10,,
3/21/2018,11,,
3/20/2018,11,,
3/19/2018,12,,
3/18/2018,12,,
3/17/2018,10,,
3/16/2018,11,,
3/15/2018,14,,
3/14/2018,12,,
3/13/2018,11,,
3/12/2018,11,,
3/11/2018,11,,
3/10/2018,10,,
3/9/2018,14,,
3/8/2018,12,,
3/7/2018,13,,
3/6/2018,12,,
3/5/2018,11,,
3/4/2018,9,,
3/3/2018,10,,
3/2/2018,11,,
3/1/2018,11,,
2/28/2018,12,,
2/27/2018,13,,
2/26/2018,12,,
2/25/2018,11,,
2/24/2018,12,,
2/23/2018,14,,
2/22/2018,15,,
2/21/2018,16,,
2/20/2018,17,,
2/19/2018,15,,
2/18/2018,16,,
2/17/2018,15,,
2/16/2018,16,,
2/15/2018,18,,
2/14/2018,17,,
2/13/2018,16,,
2/12/2018,18,,
2/11/2018,16,,
2/10/2018,17,,
2/9/2018,21,,
2/8/2018,24,,
2/7/2018,29,,
2/6/2018,48,,
2/5/2018,36,,
2/4/2018,21,,
2/3/2018,24,,
2/2/2018,37,,
2/1/2018,28,,
1/31/2018,21,,
1/30/2018,20,,
1/29/2018,19,,
1/28/2018,18,,
1/27/2018,18,,
1/26/2018,23,,
1/25/2018,22,,
1/24/2018,23,,
1/23/2018,26,,
1/22/2018,26,,
1/21/2018,23,,
1/20/2018,23,,
1/19/2018,29,,
1/18/2018,42,,
1/17/2018,58,,
1/16/2018,43,,
1/15/2018,22,,
1/14/2018,22,,
1/13/2018,24,,
1/12/2018,27,,
1/11/2018,33,,
1/10/2018,27,,
1/9/2018,27,,
1/8/2018,29,,
1/7/2018,26,,
1/6/2018,26,,
1/5/2018,28,,
1/4/2018,30,,
1/3/2018,31,,
1/2/2018,32,,
1/1/2018,26,,
12/31/2017,28,,
12/30/2017,32,,
12/29/2017,34,,
12/28/2017,38,,
12/27/2017,38,,
12/26/2017,40,,
12/25/2017,40,,
12/24/2017,45,,
12/23/2017,61,,
12/22/2017,100,,
12/21/2017,53,,
12/20/2017,69,,
12/19/2017,50,,
12/18/2017,47,,
12/17/2017,45,,
12/16/2017,41,,end fifth segment
12/15/2017,45,,
12/14/2017,51,,
12/13/2017,58,,
12/12/2017,65,,
12/11/2017,68,,
12/10/2017,60,,
12/9/2017,62,,
12/8/2017,94,,
12/7/2017,100,,
12/6/2017,51,,
12/5/2017,38,,
12/4/2017,37,,
12/3/2017,32,,
12/2/2017,31,,
12/1/2017,41,,
11/30/2017,54,,
11/29/2017,68,,
11/28/2017,40,,
11/27/2017,35,,
11/26/2017,25,,
11/25/2017,17,,
11/24/2017,17,,
11/23/2017,18,,
11/22/2017,19,,
11/21/2017,22,,
11/20/2017,21,,
11/19/2017,16,,
11/18/2017,17,,
11/17/2017,21,,
11/16/2017,20,,
11/15/2017,19,,
11/14/2017,18,,
11/13/2017,23,,
11/12/2017,27,,
11/11/2017,21,,
11/10/2017,21,,
11/9/2017,18,,
11/8/2017,19,,
11/7/2017,17,,
11/6/2017,18,,
11/5/2017,17,,
11/4/2017,18,,
11/3/2017,22,,
11/2/2017,27,,
